Designator,Mid X,Mid Y,Rotation,Layer
C1,147.955,-37.465,180.0,top
C2,148.0,-39.5,0.0,top
J1,148.0,-28.451,0.0,top
R1,147.955,-31.115,0.0,top
U1,147.955,-34.29,270.0,top
